moiveId,query_title,title,plot
450,Star Trek V: The Final Frontier (1989),Star Trek V: The Final Frontier,"Captain Kirk and his crew must deal with Mr. Spock's long-lost half-brother who hijacks the Enterprise for an obsessive search for God at the center of the galaxy.
When the newly-christened starship Enterprise's shakedown cruise goes poorly, Captain Kirk and crew put her into Spacedock for repairs. But an urgent mission interrupts their Earth-bound shore leave. A renegade Vulcan named Sybok has taken three ambassadors hostage on Nimbus III, the Planet of Galactic Peace. This event also attracts the attention of a Klingon captain who wants to make a name for himself and sets out to pursue the Enterprise. Sybok's ragtag army captures the Enterprise and takes her on a journey to the center of the galaxy in search of the Supreme Being.::David Thiel <d-thiel@uiuc.edu>
It is the 23rd Century and vacationing Captain Kirk faces two challenges: climbing Yosemite's El Capitan and teaching campfire songs to Spock. But vacations are cut short when a renegade Vulcan with a startling secret hijacks the Enterprise in order to find a mythical planet. Kirk and his crew set out to stop this madman in an adventure that takes them to the center of the universe and, perhaps, before the face of God. With the crew under Vulcan control, the captain must rely on an unlikely alliance to save the galaxy. Meanwhile, a Klingon captain wants to make a name for himself and sets out to pursue the Enterprise and intercept Kirk.::Robert Lynch <docrlynch@yahoo.com>"
451,Grease (1978),Grease,"Good girl Sandy Olsson and greaser Danny Zuko fell in love over the summer. When they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance?
A musical about teens in love in the 1950s. It's California 1958 and greaser Danny Zuko (John Travolta) and Australian Sandy Olsson (Olivia Newton-John) are in love. They spend time at the beach, and when they go back to school, what neither of them knows is that they both now attend Rydell High. Danny's the leader of the T-Birds, a group of black leather jacket-wearing greasers while Sandy hangs with the Pink Ladies, a group of pink-wearing girls led by Rizzo (Stockard Channing). When they clash at Rydell's first pep rally, Danny isn't the same Danny from the beach. They try to be like each other so they can be together.::Alex Schultz <NedSDeclassified2967>
With the summer of 1958 nearly at its end, Danny, the sweet American boy, and Sandy, the straight-laced Aussie girl, exchange oaths of eternal devotion, and part ways forever. However, unbeknownst to them, an unexpected change of plans will reunite the young dreamers at the bustling Rydell High for the new term, only this time, something has changed. Now, as Danny, the cocky Romeo and rebellious leader of the greaser gang, T-Birds, feels compelled to maintain his hard-earned reputation in front of his friends, Rydell's high-spirited all-girl band, The Pink Ladies, already have a big surprise in store for him. Is a radical transformation the only way to win Danny back?::Nick Riganas
During a visit to America, Australian Sandy Olsson (Olivia Newton-John) meets Danny Zuko (John Travolta) at the beach and falls in love. She is heartbroken when summer ends and she has to return home and their last kiss on the beach is a very emotional one. But fate lends a hand - her parents decide to stay in America and she finds herself attending the same school as Danny. But Danny at school is different from Danny at the beach. He is the leader of the T-Birds, a black leather-clad gang, and has a reputation to keep up. He can't be seen to fall in love with just one chick. Sandy is upset and seeks solace with some new friends she has made - a girls' club called ""The Pink Ladies"". But her prim and proper virginal ways do not fit in and she soon finds herself almost alone. A change must be made. Does she attempt to get her man by turning him into a jock? Or must she get rid of her ""Sandra Dee"" image?::Rhino <rhino@blueyonder.co.uk>
Sandy Olsson (Olivia Newton-John) is a goody two-shoes from Australia, Danny Zuko (John Travolta) is the head T-Bird from Rydell High School. However, when the two meet up during the summer, they fall in love. But when the summer ends, the two think they'll never see each other again. However, they're both wrong, Sandy and her parents have moved to America and she is now attending Danny's school. When the two discover that they attend the same school, there is a lot of debate over whether they can still be together since it's uncool for Danny to be in love with a ""goody goody"" like Sandy. However, the two, against all odds, manage to stay together. Then graduation comes and Sandy is about to change in a way no one expected.::x_baby angel
Danny Zuko (John Travolta), leader of the greaser gang ""T-Birds"" of Rydell High, falls in love with a goody-two-shoes girl named Sandy Olsson (Olivia Newton-John) over the summer. They thought she'd be leaving and would never see each other again but, to their luck, she begins to attend Rydell High School. She is immediately accepted into the group ""Pink Ladies"" and shortly Danny and she are reacquainted. Danny seemed to have changed, but, in the hopes of winning Sandy back, he changes into the loving, jock Danny Zuko that Sandy met during the summer, permanently.::Kris Hopson <kris.hopson@hotmail.com>"
452,Jaws 2 (1978),Jaws 2,"Police chief Brody must protect the citizens of Amity after a second monstrous shark begins terrorizing the waters.
Four years after the traumatic episodes at Amity Island, that was terrorized by a 25 foot long great white shark that was devouring beach goers. After the shark was destroyed, Amity Island was at peace and opened a hotel at the Holiday Inn. Days after the opening, beach goers begun to disappear along with a half eaten killer whale that was beached. Brody, was getting concerned about those incidents and, felt that another great white is on the loose.
It's been four years since the terrifying attacks in Jaws (1975), and now, yet another underwater predator stains the waters of Amity Island red. With Police Chief Martin Brody faced with a series of deaths, disbelief, and a possible new shark problem, and Mayor Larry Vaughn reluctant to take action, a group of teenagers, including Brody's sons, Mike and Sean, find themselves at the mercy of a rapacious, 30-foot great white shark. Can Brody rescue the trapped young sailors, and stop, once and for all, the ferocious, man-eating creature with the jaws of death?::Nick Riganas
Set four years after the events of the first installment, another killer great white shark has surfaced and has started terrorizing the shores of Amity Island once again. After numerous incidents and mysterious disappearances, it is up to Chief Brody to once again take to the waters and stop the shark's reign of terror.
Four years after the events of the original ""Jaws"", the town of Amity suddenly experiences series of mysterious boating accidents and disappearances. Chief of Police, Martin Brody, fears that another shark is out there, but he is ignored by the townsfolk. Unfortunately, he's right - there is another Great White in the sea.::darkmage7280
Four years after having to contend with a killer Great White Shark, a series of boating accidents and mysterious incidents convince the chief of Police of Amity Island that another Great White had appeared in the vicinity. Unfortunately he is unable to obtain proof and the island officials refuse to believe the threat exists, while various swimmers and boating enthusiasts carry on regardless.::R Lindsay"
453,Jaws 3-D (1983),Jaws 3-D,"A giant thirty-five-foot shark becomes trapped in a SeaWorld theme park and it's up to the sons of police chief Brody to rescue everyone.
Several years after Brody electrocuted the shark at Cable Junction, his sons, Mike and Sean, are now working in different roles at Sea World Orlando. Mike is working as a park engineer and considering marriage to his girlfriend, killer whale biologist Kathryn Morgan. Sean is also involved with 1 of the park's water skiers, Kelly Ann Bukowski. Sea World is about to open a massive 'Undersea Kingdom' which will bring visitors closer to marine life than ever before. The park is accessible from the ocean by a series of gates, one of which malfunctions. A young Great White Shark swims through the gate, and when a maintenance diver heads down to fix the gate he does not return. The young Great White is captured and placed in a tank but soon dies despite Kathryn's best efforts to save it. More alarming though, is the young shark's massive, 35 foot mother which has followed the baby shark into the lagoon and killed the maintenance diver, whose body is recovered. It isn't long before the huge shark begins wreaking havoc, and Mike and Kathryn, along with Sea World manager Calvin Bouchard and photographer Phillip Fitzroyce, must find a way to eliminate the shark before they - or the guests - become the shark's next meal.::Medic249a2
With the grand opening of Florida's fantastic Sea World theme park just around the corner, a sophisticated attraction of Plexiglas tunnels and in-your-face underwater action, Amity's former Police Chief Martin Brody's sons, Michael and Sean, already have a lot on their plate. But, before long, after the recent massacre in Jaws 2 (1978), a stranded baby great white shark infiltrates the intricate system, and unsuspecting water-skiers and busy park employees become its first meal. Now, its mother, too, a swift, massive, 35-foot-long killing machine of razor-sharp teeth, is trapped in this all-you-can-eat buffet, and no one is safe. Is there an escape from the blood-stained Undersea Kingdom, and the jaws of the great white shark?::Nick Riganas
This third film in the series follows a group of marine biologists attempting to capture a young great white shark that has wandered into Florida's Sea World Park. However, later it is discovered that the shark's 35-foot mother is also a guest at Sea World. What follows is the shark wreaking havoc on the visitors in the park.::Andrew Schaeffer"
454,Bastard Out of Carolina (1996),Bastard Out of Carolina,"A mother and daughter find their lives adversely affected when a new man enters the picture. Will their family ever be what they expect?
Difficult tale of a poor, struggling South Carolina mother and daughter who each face painful choices with resolve and pride. Tired Anney and her daughter Bone grow both closer and farther apart as Anney sees Glen as her last chance despite his mistreatment of Bone.::Lew Jacobs <titus@idirect.com>
Anney, a poor single mother from the rural South, struggles to raise her young daughter Bone. They seem to find happiness when Anney marries a kind man named Lyle who treats Bone like his own child. But after Lyle is killed in a car accident, Anney marries hotheaded Glen, who abuses Bone physically and sexually and tears the once tightly-knot family apart.::Jwelch5742"
455,Jackie Chan's First Strike (1996),First Strike,"This fourth installment of Chan's Police Story film franchise has our hero trying to locate a missing nuclear warhead.
Jackie, a cop, participates in a sting operation on an international spy-ring. But when one of them (Tsui) gets away, Jackie is ordered to apprehend him. This leads Jackie all over the globe starting with Tsui's sister in Australia. The story follows him as he tries to stay alive and capture the villain.::P. Wong <pwong@nt.net>"
456,Beverly Hills Ninja (1997),Beverly Hills Ninja,"A man tries to rescue a woman with a little help from his half brother.
Following a ship wreck, a baby is rescued by a clan of Ninja warriors and raised by them as one of their own. But Haru (Chris Farley), as he is called, never quite fits in, nor does he manage to make a worthy Ninja. However, the good-natured and persevering Haru, in his own bumbling way, and with some help from Gobei (Robin Shou), manages to prove himself to be a winner in the end.::Jeff Hole <jeffhole@aol.com>
This is the story of an unlikely overweight man named Haru (Chris Farley), who was an orphaned baby back then when he was raised by ninjas in Japan. His physical challenges, still becomes a Ninja, albeit a klutzy white one. His first mission brings him to Beverly Hills, California to investigate a murder mystery.::Anthony Pereyra {hypersonic91@yahoo.com}"
457,Free Willy 3: The Rescue (1997),Free Willy 3: The Rescue,"16-year-old Jesse and old friend Randolph try to foil an illegal whaler threatening Willy and his pregnant mate.
Willy the whale is back, this time threatened by illegal whalers making money off sushi. Jesse, now 16 years old, has taken a job on an orca-researching ship, along with old friend Randolph and a sarcastic scientist, Drew. On the whaler's ship is captain John Wesley and his 10-year-old son, Max, who isn't really pleased about his father's job, but doesn't have the gut to say so. Along the way, Willy reunites with Jesse, who helps Max realize that whales are a little more than just cheese burgers.::Bryan Chiu"
458,Nixon (1995),Nixon,"A biographical story of former U.S. President Richard Nixon, from his days as a young boy, to his eventual Presidency, which ended in shame.
Writer, Producer, and Director Oliver Stone's exploration of former President Richard Nixon's strict Quaker upbringing, his nascent political strivings in law school, and his strangely self-effacing courtship of his wife, Pat (Joan Allen). The contradictions in his character are revealed early, in the vicious campaign against Helen Gahagan Douglas and the oddly masochistic Checkers speech. His defeat at the hands of the hated and envied John F. Kennedy in the 1960 presidential election, followed by the loss of the 1962 California gubernatorial race, seem to signal the end of his career. Yet, although wholly lacking in charisma, Nixon remains a brilliant political operator, seizing the opportunity provided by the backlash against the antiwar movement to take the Presidency in 1968. It is only when safely in office, running far ahead in the polls for the 1972 Presidential election, that his growing paranoia comes to full flower, triggering the Watergate scandal.::alfiehitchie"
459,"Cry, the Beloved Country (1995)","Cry, the Beloved Country","A South African preacher goes to search for his wayward son, who has committed a crime in the big city.
South African church minister Steven Kumalo is summoned from his village to Johannesburg. There he finds that his son Absolom has been jailed in connection with a robbery in which a white man was killed. The father of the white man, James Jarvis, is a supporter of apartheid, the separation of the races which is the law of South Africa. When they encounter each other, both Kumalo and Jarvis come to unexpected realizations not only about their sons, but about the nature of their own humanity.::Jim Beaver <jumblejim@prodigy.net>"
460,"Crossing Guard, The (1995)",The Crossing Guard,"Freddy Gale is a seedy jeweller who has sworn to kill the drunk driver who killed his little girl.
After his daughter died in a hit and run, Freddy Gale has waited six years for John Booth, the man responsible, to be released from prison. On the day of release, Gale visits Booth and announces that he will kill him in one week. Booth uses his time to try and make peace with himself and his entourage, and even finds romance. Gale, whose life is spiraling down because of his obsession towards Booth, will bring himself on the very edge of sanity. At the end of the week, both men will find themselves on a collision course with each other.
Freddy Gale's life was never the same after his little girl was killed in a hit and run accident. With his life descending into debauchery and deep personal loathing, Freddy is a man full of hatred for he and the very man who took his daughter's life. That man is John Booth, the one who was behind the wheel that served his sentence. A changed man with regret, John is ready to piece his life together. But Freddy has different plans and gives John one week before fate intervenes. As both men are headed for a dreadful date, they're forced to confront the demons of their past.::mystic80"
461,Smoke (1995),Smoke,"A Brooklyn smoke shop is the center of neighborhood activity, and the stories of its customers.
The plot of this movie, like smoke, drifts and swirls ethereally. Characters and subplots are deftly woven into a tapestry of stories and pictures which only slowly emerges to our view. This movie tries to convince us that reality doesn't matter so much as aesthetic satisfaction. In Auggie Wren's (Harvey Keitel's) New York City smoke shop, day by day passes, seemingly unchanging until he teaches us to notice the little details of life. Paul Benjamin (William Hurt), a disheartened and broken writer, has a brush with death that is pivotal and sets up an unlikely series of events that afford him a novel glimpse into the life on the street which he saw, but did not truly perceive, every day. Finally, it's Auggie's turn to spin a tale.::Tad Dibbern <DIBBERN_D@a1.mscf.upenn.edu>
Auggie runs a tobacco shop in New York. Through his work he meets all kinds of people. One of his regular customers is Paul, a writer with a tragic past. Then there's Ruby, an ex-girlfriend who reappears in his life for the first time in 18 years. Through them we meet a colourful bunch of people and explore some interesting stories.::grantss
This movie is a slice out of the lives of some present and former Brooklyn denizens all brought together by a smoke shop run by local ""entrepeneur"" Auggie Wren (Harvey Keitel). Two days, one summer, and eighteen years are all examined in detail by the characters populating this movie.::Dan Geiser <pgeiser@freenet.columbus.oh.us>"
462,Like Water For Chocolate (Como agua para chocolate) (1992),Like Water for Chocolate,"When tradition prevents her from marrying the man she loves, a young woman discovers she has a unique talent for cooking.
In a forgotten Mexico village Tita and Pedro fall in love, but their marriage is forbidden as to traditions. Mother Elena sees Tita's role as her caretaker for life - no youngest daughter has ever married and her daughter will not be the first to break tradition. Tita's heart breaks when her mother offers Pedro her sister instead of her, and he accepted it just to live near Tita- he says. Now they live in the same house, and mother Elena cannot forbid their love as she did their marriage.::Anonymous
Tita and Pedro want to get married, but Tita has to take care of her ageing mother and is not allowed to marry. Pedro ends up marrying Tita's sister, but lets Tita know he only married her sister to be closer to her. When Tita is forced to make the wedding cake, the guests at the wedding are overcome with sadness... Tita has discovered she can do strange things with her cooking.::Colin Tinto <cst@imdb.com>"
463,"Secret of Roan Inish, The (1994)",The Secret of Roan Inish,"Young Fiona lives with her grandparents in a small fishing village where she takes an active role to unravel the mysterious secrets.
10-year-old Fiona is sent to live with her grandparents in a small fishing village in Donegal, Ireland. She soon learns the local legend that an ancestor of hers married a Selkie - a seal who can turn into a human. Years earlier, her baby brother washed out to sea in a cradle shaped like a boat; someone in the family believes the boy is being raised by the seals. Then Fiona catches sight of a naked little boy on the abandoned Isle of Roan Inish and takes an active role in uncovering the secret of Roan Inish.::John Oswalt <jao@jao.com>"
464,Vanya on 42nd Street (1994),Vanya on 42nd Street,"New York actors rehearse Chekhov's ""Uncle Vanya"" in a dilapidated theatre.
An uniterrupted rehersal of Chekhov's ""Uncle Vanya"" played out by a company of actors. The setting is their run down theater with an unusable stage and crumbling ceiling. The play is shown act by act with the briefest of breaks to move props or for refreshments. The lack of costumes, real props and scenery is soon forgotten.::Rob Hartill
In New York, the cast of Anton Chekhov's ""Uncle Vanya"" rehearse the play in a dilapidated theater on the 42nd Street. . The arrogant and selfish Professor Serybryakov is an elderly intellectual married with his gorgeous and younger second wife Yelena that feels trapped in a prison with her marriage. They live in a farm that supports their lifestyle with the Professor Serybryakov's brother-in-law from the first marriage Vanya, who manages the family business with Professor's daughter from his first marriage, Sonya, a plain single young woman and Vanya's mother. The local Dr. Astrov visits the family every day since he is in love with Yelena. One day, Sonya confides to Yelena that she has an unrequited love for Dr. Astrov. When Professor Serybryakov discloses his intention of selling the real estate, there is a crisis in the family.::Claudio Carvalho, Rio de Janeiro, Brazil"
465,"Jungle Book, The (1994)",The Jungle Book,"Rudyard Kipling's classic tale of Mowgli, the orphaned jungle boy raised by wild animals, and how he becomes king of the jungle.
An adaptation of Rudyard Kipling's classic tale of Mowgli the jungle boy who is raised by wild animals after being lost when a tiger attacked an encampment and killed his father. Years later he finds himself re-united with his childhood love Kitty and back in the ""civilization"" of Colonial India which he finds far less civilized then his jungle haunts. The search for a lost treasure shows who the truly civilized members of society are.::Susan Southall <stobchatay@aol.com>"
466,Red Rock West (1992),Red Rock West (1992),"Upon arriving to a small town, a drifter is mistaken for a hitman, but when the real hitman arrives, complications ensue.
When a promised job for Texan Michael fails to materialise in Wyoming, Mike is mistaken by Wayne to be the hitman he hired to kill his unfaithful wife, Suzanne. Mike takes full advantage of the situation, collects the money and runs. During his getaway, things go wrong, and soon get worse when he runs into the real hitman, Lyle.::Rob Hartill"
467,"Bronx Tale, A (1993)",A Bronx Tale,"A father becomes worried when a local gangster befriends his son in the Bronx in the 1960s.
The Bronx, New York, 1960. 9-year-old Calogero grows up admiring and fascinated by the local mob boss, Sonny. Calogero's father, Lorenzo, wants to have nothing to do with the mob and does his best to keep his son away from Sonny and mob business. However, it may prove a losing battle.::grantss
After witnessing a murder in front of his house, nine-year-old Calogero forms a strong and lasting bond with the Bronx' local gangster Sunny, in spite of his father, Lorenzo's, disapproval. A Bronx Tale delivers a closer inspection of father/son relations, life choices and their consequences.::BecksyKane
Set in the Bronx during the tumultuous 1960s, an adolescent boy is torn between his honest, working-class father and a violent yet charismatic crime boss. Complicating matters is the youngster's growing attraction forbidden in his neighborhood for a beautiful black girl.::yusufpiskin
Gangster Sonny is the big man in the Bronx neighborhood of an Italian small boy named Calogero. A shooting witnessed by the boy (nicknamed C) is the starting point of a lasting bond between the gangster and the boy. Father (bus driver Lorenzo), however, disapproves. C grows up under the wing of both men, torn between his own natural honesty and his fascination with Sonny. C's neighborhood cronies get involved in theft, use of guns, and racial fights. When C falls for an African American girl, things don't get any easier. C's leap to manhood is marked by tragedy, but also by his recognition of the many faces of love.::Horacio Abeledo <horabe@ipcabe.uba.ar>
Calogero Anello is a nine-year-old child living in the Bronx - notorious for gangster bars, racist people and an aggressive nature. Calogero witnesses a shooting in the street involving local big shot gangster, Sonny, but refuses to betray him to the police. Sonny grows fond of the boy and begins to teach him how things are conducted on the streets. Calogero's father is a working man who wants his child to grow up and make his money honestly and does not want him to mix with Sonny. Despite his father's disapproval, for eight years Calogero continues to see Sonny and receives a 'street' education from him. Despite being a gangster, Sonny loves Calogero and teaches him that being a gangster is too risky and dangerous. However, Calogero misinterprets Sonny's message and still gets involved with his friends in racism and fights. Things get worse when he falls in love with a black girl. This story is about a Bronx where a child grows up with two educations, one from school and one from the street. As the child grows closer to a gangster, he begins to grow away from his family.::Mekaeal Chaudary"
468,Rudy (1993),Rudy,"Rudy has always been told that he was too small to play college football. But he is determined to overcome the odds and fulfill his dream of playing for Notre Dame.
Rudy grew up in a steel mill town where most people ended up working, but wanted to play football at Notre Dame instead. There were only a couple of problems. His grades were a little low, his athletic skills were poor, and he was only half the size of the other players. But he had the drive and the spirit of 5 people and has set his sights upon joining the team.::Brian W Martz <B.Martz@Genie.com>"
469,Short Cuts (1993),Short Cuts,"The day-to-day lives of several suburban Los Angeles residents.
While helicopters overhead spray against a Medfly infestation a group of Los Angeles lives intersect, some casually, some to more lasting effect. Whilst they go out to concerts and jazz clubs and even have their pools cleaned, they also lie, drink, and cheat. Death itself seems never to be far away, even on a fishing trip.::Jeremy Perkins {J-26}"
470,Tombstone (1993),Tombstone,"A successful lawman's plans to retire anonymously in Tombstone, Arizona are disrupted by the kind of outlaws he was famous for eliminating.
After success cleaning up Dodge City, Wyatt Earp moves to Tombstone, Arizona, and wishes to get rich in obscurity. He meets his brothers there, as well as his old friend Doc Holliday. A band of outlaws that call themselves The Cowboys are causing problems in the region with various acts of random violence, and inevitably come into confrontation with Holliday and the Earps, which leads to a shoot-out at the O.K. Corral.::Ed Sutton <esutton@mindspring.com>
Former lawman Wyatt Earp, his two brothers and friend Doc Holliday settle in the town of Tombstone in order to lead a profitable and peaceful life, but soon come into conflict with the Cowboys, a band of outlaws led by the Clanton brothers. This retelling of the Earp and Clanton feud also follows up the gunfight at the O.K. Corral with a look at the bloody consequences of the showdown.::Keith Loh <loh@sfu.ca>
A Hollywood historical account of Tombstone, Arizona's famed ""Shootout at the O.K. Corral"" and the events that led up to it. Tension between ""the Law"" and ""the Cowboys"" stirs as the Cowboys, led by ""Curly Bill"" Broscius, accuse the Earps (Wyatt, Virgil, and Morgan) and their outlaw and gambler associate ""Doc"" Holliday of interfering with their operations inside and outside of town.::Paul J. Perrone <perrone@virginia.edu>
Wyatt Earp along with his brothers and their wives move to Tombstone to start a new life putting his life as a lawman and gunslinger behind him. Also coming to Tombstone is Wyatt's good friend, Doc Holliday. However, it turns out that ""The Cowboys"", a group of men, among whose members include The Clantons, pretty much act as if they are above the law. Wyatt would be asked to be Marshall but rejects the offer but his brother, Virgil who can't stomach the violence around him accepts the job over Wyatt's objections. Eventually a confrontation between them and The Cowboys is going to happen. And who will survive?::rcs0411@yahoo.com"
471,Courage Under Fire (1996),Courage Under Fire,"A U.S. Army officer, despondent about a deadly mistake he made, investigates a female chopper commander's worthiness for the Medal of Honor.
The pilot of a rescue copter, Captain Karen Walden, died shortly before her helicopter crew was rescued after it crashed in Desert Storm. It first appears that she made a spectacular rescue of a downed helicopter crew, then held her own crew together to fight off the Iraqis after her copter crashed. Lt. Colonel Serling, who is struggling with his own demons from Desert Storm, is assigned to investigate her worthiness for the Medal of Honor. But some conflicting accounts, from her crew and soldiers in the area, cause him to question whether she deserves it.::Brian W Martz <B.Martz@Genie.com>
Two fictional combat stories come together in this film set during the Gulf War (Aug. 1990-Feb. 1991) and afterwards. LCol Nat Serling is haunted by a mistake he made that cost the lives of a friend and his tank crew. He investigates the recommended Medal of Honor for Capt. Karen Walden, who was killed after her rescue helicopter was shot down. Conflicting reports lead him to probe deeper to uncover the truth about Walden and all of her crew, who survived. In the process, he comes to grips with his own demons.::SimonJack
This film is a series of flashbacks in which Lieutenant Colonel Nathan Serling attempts to determine whether Captain Karen Walden deserves to be the first woman ever to win the Medal of Honor for combat.::Lisa Buckley <buckley@idirect.com>"
472,Dragonheart (1996),DragonHeart,"The last dragon and a disillusioned dragonslaying Knight must cooperate to stop an evil King, who was given partial immortality.
The young, sickly King Einon was wounded in a battle. In order for him to survive, he is healed by Draco, a dragon. Some years later, Bowen, a dragonslayer, encounters Draco. The two team up to form a travelling duo that perform an act, but the act is only known by themselves. Bowen supposedly ""slays"" Draco and then collects a reward from the town or village that he protects by killing the dragon who had been ""terrorizing"" them. From there, Bowen and Draco must save the entire kingdom from the rule of the now evil King Einon, who is part of Draco, and Draco a part of him."
473,James and the Giant Peach (1996),James and the Giant Peach,"An orphan who lives with his two cruel aunts befriends anthropomorphic bugs who live inside a giant peach, and they embark on a journey to New York City.
James' happy life at the English seaside is rudely ended when his parents are killed by a rhinoceros and he goes to live with his two horrid aunts. Daringly saving the life of a spider he comes into possession of magic boiled crocodile tongues, after which an enormous peach starts to grow in the garden. Venturing inside, he meets not only the spider but a number of new friends including a ladybug and a centipede who help him with his plan to try to get to New York.::Jeremy Perkins {J-26}"
474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.
Paranoid Brigadier General Jack D. Ripper of Burpelson Air Force Base, believing that fluoridation of the American water supply is a Soviet plot to poison the U.S. populace, is able to deploy through a back door mechanism a nuclear attack on the Soviet Union without the knowledge of his superiors, including the Chair of the Joint Chiefs of Staff, General Buck Turgidson, and President Merkin Muffley. Only Ripper knows the code to recall the B-52 bombers and he has shut down communication in and out of Burpelson as a measure to protect this attack. Ripper's executive officer, RAF Group Captain Lionel Mandrake (on exchange from Britain), who is being held at Burpelson by Ripper, believes he knows the recall codes if he can only get a message to the outside world. Meanwhile at the Pentagon War Room, key persons including Muffley, Turgidson and nuclear scientist and adviser, a former Nazi named Dr. Strangelove, are discussing measures to stop the attack or mitigate its blow-up into an all out nuclear war with the Soviets. Against Turgidson's wishes, Muffley brings Soviet Ambassador Alexi de Sadesky into the War Room, and get his boss, Soviet Premier Dimitri Kisov, on the hot line to inform him of what's going on. The Americans in the War Room are dismayed to learn that the Soviets have an as yet unannounced Doomsday Device to detonate if any of their key targets are hit. As Ripper, Mandrake and those in the War Room try and work the situation to their end goal, Major T.J. ""King"" Kong, one of the B-52 bomber pilots, is working on his own agenda of deploying his bomb where ever he can on enemy soil if he can't make it to his intended target.::Huggo
A fundamental pedantic General, evokes a huge number of optimists (politicians) to prevent his actions, by practically quarrelling with the outcome of the salted bomb that was being prepared to be dropped on the soviets, that could cause a radio active encirclement of 90 years loitering.
U.S. Air Force General Jack Ripper goes completely and utterly mad, and sends his bomber wing to destroy the U.S.S.R. He suspects that the communists are conspiring to pollute the ""precious bodily fluids"" of the American people. The U.S. president meets with his advisors, where the Soviet ambassador tells him that if the U.S.S.R. is hit by nuclear weapons, it will trigger a ""Doomsday Machine"" which will destroy all plant and animal life on Earth. Peter Sellers portrays the three men who might avert this tragedy: British Group Captain Lionel Mandrake, the only person with access to the demented Gen. Ripper; U.S. President Merkin Muffley, whose best attempts to divert disaster depend on placating a drunken Soviet Premier and the former Nazi genius Dr. Strangelove, who concludes that ""such a device would not be a practical deterrent for reasons which at this moment must be all too obvious"". Will the bombers be stopped in time, or will General Jack Ripper succeed in destroying the world ?::Colin Tinto <cst@imdb.com>
U.S. President Merkin Muffley is on the hot line to Moscow with some rather embarrassing news for the Soviet premier: ""Hello, Dimitri....I'm fine....Now then, you know how we've always talked about the possibility of something going wrong with the bomb....The bomb, Dimitri. The hydrogen bomb....Well, now, what happened is that, uh, one of our base commanders...he went a little funny in the head....and he went and did a silly thing....He ordered his planes to attack your country."" A comedy about an accidental nuclear attack? One that ends with total annihilation, thermonuclear apocalypse? Preposterous! Stanley Kubrick thought otherwise. In the end his thinking prevailed. The mad saga revolves around a psychotic Strategic Air Command officer, Gen. Jack D. Ripper, who lets loose his B-52 bomber squadron on the Soviet Union. Ripper takes this unilateral action because of his paranoid belief that Communists are sapping and contaminating ""all our precious bodily fluids"" as part of their plan to take over the world. Unbeknownst to Ripper, his attack will trigger the Russian's ultimate weapon, the Doomsday Machine, a diabolical retaliatory device set to blow up the planet.::alfiehitchie"
475,Trainspotting (1996),Trainspotting,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.
A wild, freeform, Rabelaisian trip through the darkest recesses of Edinburgh low-life, focusing on Mark Renton and his attempt to give up his heroin habit, and how the latter affects his relationship with family and friends: Sean Connery wannabe Sick Boy, dimbulb Spud, psycho Begbie, 14-year-old girlfriend Diane, and clean-cut athlete Tommy, who's never touched drugs but can't help being curious about them...::Michael Brooke <michael@everyman.demon.co.uk>
Renton is an Edinburgh lad with a heroin addiction problem. His best mates are: somewhat dimwitted but good-hearted Spud, also a heroin addict; con man Sick Boy, also a heroin addict who has steadfast opinions on the most renowned British actors; and Tommy, a clean cut athlete who doesn't use. The likelihood of Renton, Spud and/or Sick Boy leading Tommy astray are higher than the other way around as problems in Tommy's life resulting in him wanting to use are more likely than any of Renton, Spud or Sick Boy having a reason to follow Tommy's clean example. Renton, Spud and Sick Boy often use with Allison, the mother of an infant, they, including baby Dawn, congregating in Swanney's drug den. They also need to steal and rob to support their habit, those activities often with the assistance of their criminal acquaintance Begbie, whose violent tendencies can be ignited on the slightest provocation. Despite Renton, Spud and Sick Boy believing there is no better feeling than being high, Renton truly does want to quit using, or so he tells himself. The struggles Renton have in trying to get clean are presented. He may feel that other priorities in his life may help him, such as the love at first sight feelings he has for Diane, who he sees across a nightclub room but who may not be all she appears at first glance. Renton probably realizes that he can never get clean in his current environment, which includes hanging around with Spud, Sick Boy, Begbie, Allison and Swanney, but getting out from their influence may not be as easy as just physically leaving.::Huggo"
